iter	Passed	Remaining
0	168	167853
1	189	94554
2	216	71851
3	239	59573
4	260	51904
5	282	46883
6	302	42894
7	322	39956
8	341	37580
9	358	35511
10	378	34003
11	396	32674
12	416	31635
13	434	30619
14	453	29766
15	471	29000
16	489	28310
17	508	27755
18	527	27236
19	547	26839
20	567	26466
21	585	26037
22	603	25617
23	621	25290
24	640	24994
25	660	24743
26	680	24517
27	700	24317
28	719	24086
29	739	23894
30	757	23684
31	775	23464
32	793	23244
33	811	23048
34	830	22899
35	850	22783
36	871	22673
37	891	22557
38	909	22414
39	927	22267
40	946	22135
41	965	22025
42	983	21897
43	1001	21761
44	1022	21708
45	1040	21583
46	1058	21465
47	1076	21359
48	1094	21244
49	1114	21166
50	1136	21140
51	1158	21122
52	1185	21177
53	1204	21103
54	1223	21015
55	1242	20946
56	1264	20913
57	1284	20867
58	1305	20819
59	1324	20755
60	1345	20711
61	1363	20622
62	1380	20526
63	1399	20473
64	1419	20418
65	1438	20362
66	1457	20298
67	1475	20227
68	1494	20167
69	1513	20111
70	1533	20063
71	1552	20010
72	1571	19960
73	1590	19903
74	1609	19849
75	1628	19795
76	1646	19736
77	1665	19687
78	1685	19653
79	1705	19615
80	1726	19583
81	1746	19546
82	1765	19503
83	1783	19451
84	1803	19411
85	1823	19374
86	1842	19336
87	1864	19318
88	1885	19297
89	1904	19260
90	1924	19221
91	1948	19231
92	1968	19197
93	1987	19159
94	2009	19143
95	2029	19113
96	2049	19078
97	2068	19035
98	2087	19002
99	2105	18953
100	2125	18916
101	2144	18879
102	2163	18838
103	2182	18801
104	2201	18761
105	2220	18724
106	2243	18722
107	2265	18713
108	2286	18690
109	2307	18669
110	2327	18638
111	2348	18623
112	2371	18614
113	2410	18730
114	2443	18802
115	2473	18847
116	2493	18819
117	2514	18791
118	2533	18753
119	2552	18715
120	2570	18674
121	2588	18628
122	2606	18581
123	2623	18531
124	2639	18476
125	2657	18436
126	2675	18390
127	2692	18345
128	2710	18297
129	2728	18259
130	2745	18215
131	2764	18175
132	2781	18130
133	2800	18096
134	2817	18054
135	2834	18005
136	2852	17971
137	2870	17932
138	2888	17893
139	2907	17860
140	2924	17815
141	2944	17789
142	2960	17742
143	2978	17703
144	2995	17660
145	3012	17623
146	3030	17584
147	3047	17545
148	3065	17506
149	3082	17467
150	3099	17429
151	3116	17387
152	3134	17350
153	3151	17314
154	3169	17276
155	3185	17236
156	3202	17194
157	3221	17166
158	3239	17134
159	3257	17103
160	3275	17070
161	3293	17039
162	3309	16993
163	3328	16968
164	3346	16934
165	3366	16915
166	3384	16881
167	3399	16833
168	3415	16793
169	3431	16754
170	3448	16717
171	3464	16679
172	3481	16642
173	3497	16603
174	3515	16572
175	3532	16538
176	3548	16501
177	3566	16468
178	3583	16434
179	3599	16399
180	3616	16366
181	3633	16331
182	3652	16305
183	3668	16269
184	3683	16228
185	3701	16198
186	3718	16167
187	3734	16131
188	3751	16097
189	3768	16063
190	3784	16031
191	3803	16005
192	3819	15970
193	3836	15939
194	3853	15908
195	3871	15879
196	3889	15852
197	3905	15821
198	3922	15790
199	3942	15770
200	3958	15734
201	3974	15699
202	3991	15671
203	4007	15638
204	4024	15606
205	4040	15572
206	4056	15541
207	4076	15520
208	4091	15486
209	4108	15454
210	4126	15428
211	4143	15399
212	4160	15371
213	4177	15343
214	4194	15313
215	4214	15296
216	4232	15271
217	4249	15242
218	4267	15218
219	4286	15197
220	4305	15174
221	4324	15155
222	4341	15128
223	4360	15106
224	4376	15074
225	4391	15040
226	4406	15004
227	4421	14970
228	4435	14934
229	4451	14901
230	4466	14868
231	4482	14837
232	4498	14808
233	4513	14775
234	4529	14744
235	4545	14715
236	4560	14682
237	4576	14652
238	4591	14621
239	4606	14588
240	4622	14557
241	4638	14529
242	4654	14499
243	4669	14467
244	4684	14435
245	4699	14403
246	4715	14375
247	4731	14347
248	4747	14318
249	4763	14290
250	4779	14261
251	4797	14239
252	4813	14211
253	4828	14180
254	4844	14152
255	4859	14123
256	4876	14096
257	4892	14071
258	4907	14040
259	4923	14011
260	4954	14029
261	4984	14040
262	5003	14021
263	5021	14000
264	5037	13971
265	5052	13942
266	5067	13913
267	5083	13886
268	5099	13858
269	5115	13831
270	5132	13806
271	5149	13781
272	5166	13759
273	5185	13738
274	5203	13719
275	5222	13698
276	5238	13672
277	5255	13648
278	5272	13625
279	5289	13601
280	5306	13577
281	5322	13552
282	5339	13527
283	5354	13499
284	5372	13477
285	5387	13449
286	5402	13421
287	5417	13393
288	5432	13364
289	5446	13335
290	5462	13309
291	5477	13281
292	5493	13255
293	5510	13232
294	5526	13206
295	5542	13181
296	5556	13152
297	5572	13126
298	5587	13099
299	5602	13072
300	5617	13045
301	5633	13019
302	5650	12997
303	5664	12969
304	5679	12942
305	5695	12916
306	5711	12892
307	5725	12864
308	5742	12840
309	5758	12816
310	5772	12789
311	5792	12772
312	5809	12751
313	5826	12729
314	5841	12703
315	5856	12676
316	5871	12651
317	5887	12627
318	5903	12603
319	5918	12577
320	5935	12555
321	5951	12530
322	5966	12504
323	5981	12479
324	5997	12455
325	6013	12432
326	6029	12408
327	6043	12382
328	6059	12357
329	6075	12335
330	6090	12310
331	6106	12286
332	6121	12262
333	6137	12238
334	6152	12213
335	6167	12188
336	6186	12170
337	6202	12148
338	6220	12129
339	6236	12105
340	6252	12083
341	6270	12063
342	6286	12040
343	6302	12019
344	6319	11997
345	6335	11974
346	6351	11951
347	6368	11931
348	6383	11907
349	6398	11882
350	6413	11857
351	6427	11833
352	6442	11808
353	6458	11785
354	6473	11761
355	6489	11740
356	6506	11718
357	6521	11694
358	6536	11671
359	6551	11647
360	6568	11625
361	6583	11602
362	6598	11578
363	6612	11554
364	6627	11530
365	6644	11510
366	6660	11487
367	6676	11465
368	6690	11441
369	6705	11418
370	6720	11394
371	6736	11372
372	6751	11348
373	6768	11329
374	6786	11311
375	6803	11291
376	6822	11274
377	6838	11253
378	6856	11233
379	6874	11215
380	6890	11195
381	6908	11177
382	6928	11161
383	6946	11144
384	6964	11124
385	6982	11106
386	6998	11084
387	7013	11061
388	7030	11043
389	7044	11018
390	7060	10996
391	7076	10975
392	7091	10952
393	7105	10929
394	7121	10907
395	7136	10885
396	7151	10861
397	7167	10841
398	7184	10821
399	7200	10800
400	7217	10781
401	7235	10762
402	7252	10744
403	7269	10723
404	7283	10700
405	7298	10677
406	7314	10657
407	7333	10640
408	7353	10626
409	7371	10607
410	7389	10589
411	7408	10573
412	7423	10551
413	7440	10531
414	7458	10514
415	7477	10497
416	7494	10478
417	7525	10478
418	7555	10476
419	7575	10461
420	7597	10448
421	7611	10425
422	7626	10403
423	7643	10383
424	7659	10362
425	7674	10340
426	7689	10318
427	7704	10296
428	7719	10274
429	7734	10252
430	7750	10232
431	7765	10209
432	7779	10186
433	7796	10167
434	7810	10144
435	7826	10124
436	7842	10104
437	7861	10086
438	7877	10066
439	7892	10044
440	7907	10023
441	7924	10004
442	7939	9982
443	7954	9960
444	7969	9939
445	7985	9919
446	8001	9898
447	8015	9875
448	8030	9854
449	8044	9832
450	8063	9815
451	8077	9793
452	8092	9771
453	8108	9751
454	8123	9729
455	8138	9709
456	8155	9689
457	8172	9671
458	8187	9650
459	8204	9631
460	8219	9610
461	8235	9589
462	8249	9568
463	8264	9547
464	8280	9526
465	8295	9505
466	8310	9484
467	8324	9463
468	8340	9442
469	8355	9422
470	8370	9401
471	8386	9382
472	8403	9363
473	8418	9342
474	8433	9320
475	8447	9299
476	8462	9278
477	8478	9258
478	8495	9240
479	8510	9220
480	8526	9200
481	8542	9180
482	8556	9158
483	8571	9138
484	8586	9117
485	8602	9097
486	8617	9077
487	8633	9058
488	8650	9039
489	8665	9019
490	8680	8998
491	8694	8976
492	8709	8956
493	8724	8936
494	8740	8916
495	8755	8896
496	8772	8877
497	8788	8858
498	8803	8838
499	8818	8818
500	8834	8799
501	8851	8780
502	8866	8760
503	8880	8739
504	8895	8719
505	8912	8700
506	8929	8682
507	8944	8663
508	8960	8643
509	8976	8624
510	8991	8604
511	9006	8584
512	9021	8564
513	9036	8544
514	9052	8524
515	9067	8505
516	9083	8486
517	9098	8466
518	9113	8446
519	9128	8425
520	9144	8407
